Date,JABAX
1994-08-26,3.477399362
1994-08-29,3.485881232
1994-08-30,3.491535812
1994-08-31,3.497187647
1994-09-01,3.483053942
1994-09-02,3.477399362
1994-09-06,3.474572071
1994-09-07,3.468917491
1994-09-08,3.483053942
1994-09-09,3.466090201
1994-09-12,3.451953751
1994-09-13,3.449126461
1994-09-14,3.451953751
1994-09-15,3.483053942
1994-09-16,3.466090201
1994-09-19,3.460435621
1994-09-20,3.429338175
1994-09-21,3.412374435
1994-09-22,3.409547144
1994-09-23,3.406719854
1994-09-26,3.403892564
1994-09-27,3.412374435
1994-09-28,3.423683595
1994-09-29,3.412374435
1994-09-30,3.415201725
1994-10-03,3.418039994
1994-10-04,3.389651806
1994-10-05,3.383972521
1994-10-06,3.375457712
1994-10-07,3.389651806
1994-10-10,3.4038459
1994-10-11,3.429395819
1994-10-12,3.432234089
1994-10-13,3.437913373
1994-10-14,3.435075103
1994-10-17,3.440751643
1994-10-18,3.437913373
1994-10-19,3.449269198
1994-10-20,3.432234089
1994-10-21,3.423719279
1994-10-24,3.412363455
1994-10-25,3.40668417
1994-10-26,3.415201725
1994-10-27,3.432234089
1994-10-28,3.457784007
1994-10-31,3.454945737
1994-11-01,3.440751643
1994-11-02,3.437913373
1994-11-03,3.435075103
1994-11-04,3.423719279
1994-11-07,3.426557549
1994-11-08,3.420878264
1994-11-09,3.443589913
1994-11-10,3.440751643
1994-11-11,3.435075103
1994-11-14,3.443589913
1994-11-15,3.440751643
1994-11-16,3.443589913
1994-11-17,3.432234089
1994-11-18,3.437913373
1994-11-21,3.437913373
1994-11-22,3.429395819
1994-11-23,3.418039994
1994-11-25,3.423719279
1994-11-28,3.435075103
1994-11-29,3.437913373
1994-11-30,3.443589913
1994-12-01,3.443589913
1994-12-02,3.437913373
1994-12-05,3.435075103
1994-12-06,3.426557549
1994-12-07,3.423719279
1994-12-08,3.423719279
1994-12-09,3.418039994
1994-12-12,3.415201725
1994-12-13,3.412363455
1994-12-14,3.40668417
1994-12-15,3.4038459
1994-12-16,3.40668417
1994-12-19,3.40100763
1994-12-20,3.40952244
1994-12-21,3.412363455
1994-12-22,3.412363455
1994-12-23,3.415201725
1994-12-27,3.415201725
1994-12-28,3.40668417
1994-12-29,3.412363455
1994-12-30,3.415712284
1995-01-03,3.409838108
1995-01-04,3.403963933
1995-01-05,3.409838108
1995-01-06,3.409838108
1995-01-09,3.415712284
1995-01-10,3.421586459
1995-01-11,3.427460635
1995-01-12,3.430397723
1995-01-13,3.445083161
1995-01-16,3.459765855
1995-01-17,3.459765855
1995-01-18,3.462702943
1995-01-19,3.453894425
1995-01-20,3.436271898
1995-01-23,3.430397723
1995-01-24,3.436271898
1995-01-25,3.445083161
1995-01-26,3.448020249
1995-01-27,3.462702943
1995-01-30,3.462702943
1995-01-31,3.471514206
1995-02-01,3.48032547
1995-02-02,3.489136733
1995-02-03,3.521444698
1995-02-06,3.542001567
1995-02-07,3.53906448
1995-02-08,3.547875743
1995-02-09,3.547875743
1995-02-10,3.544938655
1995-02-13,3.542001567
1995-02-14,3.547875743
1995-02-15,3.562561182
1995-02-16,3.56549827
1995-02-17,3.550812831
1995-02-21,3.553749919
1995-02-22,3.559624094
1995-02-23,3.568435357
1995-02-24,3.568435357
1995-02-27,3.547875743
1995-02-28,3.568435357
1995-03-01,3.568435357
1995-03-02,3.562561182
1995-03-03,3.56549827
1995-03-06,3.56549827
1995-03-07,3.547875743
1995-03-08,3.550812831
1995-03-09,3.553749919
1995-03-10,3.571372445
1995-03-13,3.583120796
1995-03-14,3.591932059
1995-03-15,3.588994972
1995-03-16,3.60368041
1995-03-17,3.60368041
1995-03-20,3.606617498
1995-03-21,3.606617498
1995-03-22,3.606617498
1995-03-23,3.600743323
1995-03-24,3.630111455
1995-03-27,3.641859806
1995-03-28,3.647733982
1995-03-29,3.641859806
1995-03-30,3.644796894
1995-03-31,3.638922719
1995-04-03,3.635971906
1995-04-04,3.641873531
1995-04-05,3.638922719
1995-04-06,3.630070281
1995-04-07,3.635971906
1995-04-10,3.633021094
1995-04-11,3.641873531
1995-04-12,3.653679526
1995-04-13,3.665485521
1995-04-17,3.656630338
1995-04-18,3.638922719
1995-04-19,3.618264286
1995-04-20,3.630070281
1995-04-21,3.635971906
1995-04-24,3.653679526
1995-04-25,3.653679526
1995-04-26,3.662534708
1995-04-27,3.665485521
1995-04-28,3.668436333
1995-05-01,3.662534708
1995-05-02,3.659581151
1995-05-03,3.689094765
1995-05-04,3.70090076
1995-05-05,3.69499639
1995-05-08,3.706802385
1995-05-09,3.71270401
1995-05-10,3.709753197
1995-05-11,3.715657567
1995-05-12,3.721559192
1995-05-15,3.739266812
1995-05-16,3.748119249
1995-05-17,3.736316
1995-05-18,3.709753197
1995-05-19,3.69499639
1995-05-22,3.71860838
1995-05-23,3.733365187
1995-05-24,3.756974432
1995-05-25,3.765826869
1995-05-26,3.754023619
1995-05-30,3.759925244
1995-05-31,3.780583676
1995-06-01,3.789438859
1995-06-02,3.807146479
1995-06-05,3.821903286
1995-06-06,3.824854098
1995-06-07,3.807146479
1995-06-08,3.801242109
1995-06-09,3.777632864
1995-06-12,3.792389671
1995-06-13,3.830755723
1995-06-14,3.821903286
1995-06-15,3.818949728
1995-06-16,3.830755723
1995-06-19,3.851414155
1995-06-20,3.851414155
1995-06-21,3.866170963
1995-06-22,3.889782952
1995-06-23,3.892733765
1995-06-26,3.869121775
1995-06-27,3.857318525
1995-06-28,3.854367713
1995-06-29,3.857318525
1995-06-30,3.86322015
1995-07-03,3.875078299
1995-07-05,3.878045581
1995-07-06,3.901764623
1995-07-07,3.907693698
1995-07-10,3.919551846
1995-07-11,3.916587309
1995-07-12,3.928448203
1995-07-13,3.934377277
1995-07-14,3.922516384
1995-07-17,3.925483666
1995-07-18,3.910658235
1995-07-19,3.886939193
1995-07-20,3.883974655
1995-07-21,3.878045581
1995-07-24,3.886939193
1995-07-25,3.916587309
1995-07-26,3.910658235
1995-07-27,3.937341814
1995-07-28,3.946235426
1995-07-31,3.961060857
1995-08-01,3.946235426
1995-08-02,3.949199963
1995-08-03,3.943270889
1995-08-04,3.946235426
1995-08-07,3.95809632
1995-08-08,3.95809632
1995-08-09,3.952167245
1995-08-10,3.943270889
1995-08-11,3.928448203
1995-08-14,3.934377277
1995-08-15,3.928448203
1995-08-16,3.937341814
1995-08-17,3.934377277
1995-08-18,3.946235426
1995-08-21,3.952167245
1995-08-22,3.949199963
1995-08-23,3.949199963
1995-08-24,3.955131782
1995-08-25,3.966989931
1995-08-28,3.969954468
1995-08-29,3.964025394
1995-08-30,3.978850825
1995-08-31,3.981815362
1995-09-01,3.990708973
1995-09-05,4.008498941
1995-09-06,4.029253447
1995-09-07,4.029253447
1995-09-08,4.041111595
1995-09-11,4.050007952
1995-09-12,4.070759712
1995-09-13,4.070759712
1995-09-14,4.079656068
1995-09-15,4.079656068
1995-09-18,4.070759712
1995-09-19,4.073726994
1995-09-20,4.073726994
1995-09-21,4.0618661
1995-09-22,4.032217984
1995-09-25,4.041111595
1995-09-26,4.052972489
1995-09-27,4.041111595
1995-09-28,4.050007952
1995-09-29,4.064830638
1995-10-02,4.058874114
1995-10-03,4.082697464
1995-10-04,4.076743685
1995-10-05,4.079719202
1995-10-06,4.079719202
1995-10-09,4.052920335
1995-10-10,4.032075247
1995-10-11,4.061852376
1995-10-12,4.070787161
1995-10-13,4.106520814
1995-10-16,4.100567035
1995-10-17,4.103542552
1995-10-18,4.100567035
1995-10-19,4.097588773
1995-10-20,4.079719202
1995-10-23,4.061852376
1995-10-24,4.0678089
1995-10-25,4.070787161
1995-10-26,4.049942073
1995-10-27,4.052920335
1995-10-30,4.076743685
1995-10-31,4.085675726
1995-11-01,4.100567035
1995-11-02,4.124390385
1995-11-03,4.130344164
1995-11-06,4.121412124
1995-11-07,4.121412124
1995-11-08,4.136300688
1995-11-09,4.148210991
1995-11-10,4.13927895
1995-11-13,4.130344164
1995-11-14,4.127365902
1995-11-15,4.127365902
1995-11-16,4.151189253
1995-11-17,4.166080562
1995-11-20,4.154167514
1995-11-21,4.151189253
1995-11-22,4.166080562
1995-11-24,4.175012603
1995-11-27,4.195857691
1995-11-28,4.198835953
1995-11-29,4.204792477
1995-11-30,4.222659303
1995-12-01,4.23457235
1995-12-04,4.258395701
1995-12-05,4.264349479
1995-12-06,4.270306003
1995-12-07,4.252439177
1995-12-08,4.252439177
1995-12-11,4.255417439
1995-12-12,4.252439177
1995-12-13,4.261371218
1995-12-14,4.264349479
1995-12-15,4.270306003
1995-12-18,4.207770738
1995-12-19,4.246482653
1995-12-20,4.249460915
1995-12-21,4.261371218
1995-12-22,4.276262527
1995-12-26,4.28817283
1995-12-27,4.303064139
1995-12-28,4.317952703
1995-12-29,4.348715267
1996-01-02,4.351882929
1996-01-03,4.355053337
1996-01-04,4.313849015
1996-01-05,4.301170129
1996-01-08,4.304340537
1996-01-09,4.288491243
1996-01-10,4.231437627
1996-01-11,4.250457329
1996-01-12,4.259965807
1996-01-15,4.247286921
1996-01-16,4.275812356
1996-01-17,4.285320835
1996-01-18,4.294829313
1996-01-19,4.320187086
1996-01-22,4.317016678
1996-01-23,4.310678608
1996-01-24,4.33603638
1996-01-25,4.329695565
1996-01-26,4.342374451
1996-01-29,4.364561816
1996-01-30,4.402598475
1996-01-31,4.427953502
1996-02-01,4.421615432
1996-02-02,4.405766137
1996-02-05,4.408936545
1996-02-06,4.434294318
1996-02-07,4.443802796
1996-02-08,4.465990161
1996-02-09,4.47549864
1996-02-12,4.494515597
1996-02-13,4.500856412
1996-02-14,4.497686005
1996-02-15,4.491347934
1996-02-16,4.47549864
1996-02-20,4.421615432
1996-02-21,4.453311275
1996-02-22,4.491347934
1996-02-23,4.504024075
1996-02-26,4.478669048
1996-02-27,4.469160569
1996-02-28,4.469160569
1996-02-29,4.453311275
1996-03-01,4.469160569
1996-03-04,4.488177526
1996-03-05,4.504024075
1996-03-06,4.488177526
1996-03-07,4.488177526
1996-03-08,4.38041111
1996-03-11,4.393089996
1996-03-12,4.377240702
1996-03-13,4.396257659
1996-03-14,4.424785839
1996-03-15,4.415277361
1996-03-18,4.453311275
1996-03-19,4.453311275
1996-03-20,4.453311275
1996-03-21,4.459649346
1996-03-22,4.472328232
1996-03-25,4.485007118
1996-03-26,4.48183671
1996-03-27,4.469160569
1996-03-28,4.47549864
1996-03-29,4.485007118
1996-04-01,4.507290556
1996-04-02,4.529571249
1996-04-03,4.513656076
1996-04-04,4.510471944
1996-04-08,4.453176773
1996-04-09,4.446811253
1996-04-10,4.418162295
1996-04-11,4.392697469
1996-04-12,4.421346427
1996-04-15,4.44362712
1996-04-16,4.453176773
1996-04-17,4.434077468
1996-04-18,4.44362712
1996-04-19,4.465907813
1996-04-22,4.478641598
1996-04-23,4.497740903
1996-04-24,4.494556771
1996-04-25,4.510471944
1996-04-26,4.523205729
1996-04-29,4.510471944
1996-04-30,4.507290556
1996-05-01,4.516837464
1996-05-02,4.465907813
1996-05-03,4.446811253
1996-05-06,4.434077468
1996-05-07,4.424527815
1996-05-08,4.440442988
1996-05-09,4.456360905
1996-05-10,4.494556771
1996-05-13,4.529571249
1996-05-14,4.555036074
1996-05-15,4.570951247
1996-05-16,4.567769859
1996-05-17,4.580500899
1996-05-20,4.602781592
1996-05-21,4.602781592
1996-05-22,4.621880898
1996-05-23,4.612331245
1996-05-24,4.621880898
1996-05-28,4.599600205
1996-05-29,4.567769859
1996-05-30,4.580500899
1996-05-31,4.580500899
1996-06-03,4.580500899
1996-06-04,4.602781592
1996-06-05,4.63143055
1996-06-06,4.63143055
1996-06-07,4.609149857
1996-06-10,4.599600205
1996-06-11,4.590050552
1996-06-12,4.583685032
1996-06-13,4.583685032
1996-06-14,4.580500899
1996-06-17,4.580500899
1996-06-18,4.564585727
1996-06-19,4.555036074
1996-06-20,4.542305034
1996-06-21,4.548670554
1996-06-24,4.570951247
1996-06-25,4.580500899
1996-06-26,4.567769859
1996-06-27,4.580500899
1996-06-28,4.605965725
1996-07-01,4.628339746
1996-07-02,4.628339746
1996-07-03,4.625144633
1996-07-05,4.567610653
1996-07-08,4.538840917
1996-07-09,4.551626856
1996-07-10,4.554824714
1996-07-11,4.519664754
1996-07-12,4.519664754
1996-07-15,4.462130773
1996-07-16,4.423772956
1996-07-17,4.474913967
1996-07-18,4.535645805
1996-07-19,4.519664754
1996-07-22,4.503680957
1996-07-23,4.481306937
1996-07-24,4.446146977
1996-07-25,4.471718855
1996-07-26,4.497290733
1996-07-29,4.494092876
1996-07-30,4.516466897
1996-07-31,4.535645805
1996-08-01,4.577198734
1996-08-02,4.641125685
1996-08-05,4.644323542
1996-08-06,4.653911624
1996-08-07,4.669892675
1996-08-08,4.669892675
1996-08-09,4.669892675
1996-08-12,4.682678614
1996-08-13,4.676285645
1996-08-14,4.676285645
1996-08-15,4.685876471
1996-08-16,4.701857523
1996-08-19,4.698659665
1996-08-20,4.695464553
1996-08-21,4.695464553
1996-08-22,4.708250492
1996-08-23,4.711445604
1996-08-26,4.698659665
1996-08-27,4.714643462
1996-08-28,4.721036431
1996-08-29,4.701857523
1996-08-30,4.682678614
1996-09-03,4.679483502
1996-09-04,4.689071584
1996-09-05,4.676285645
1996-09-06,4.698659665
1996-09-09,4.721036431
1996-09-10,4.727426656
1996-09-11,4.737017483
1996-09-12,4.752998534
1996-09-13,4.791356351
1996-09-16,4.810532515
1996-09-17,4.800944433
1996-09-18,4.784963381
1996-09-19,4.794551463
1996-09-20,4.807337402
1996-09-23,4.804139545
1996-09-24,4.810532515
1996-09-25,4.823318454
1996-09-26,4.839299505
1996-09-27,4.848890332
1996-09-30,4.845692475
1996-10-01,4.85532173
1996-10-02,4.877783589
1996-10-03,4.877783589
1996-10-04,4.90345703
1996-10-07,4.913083541
1996-10-08,4.90345703
1996-10-09,4.877783589
1996-10-10,4.880992426
1996-10-11,4.897039356
1996-10-14,4.906665867
1996-10-15,4.893830519
1996-10-16,4.893830519
1996-10-17,4.913083541
1996-10-18,4.929130471
1996-10-21,4.929130471
1996-10-22,4.913083541
1996-10-23,4.897039356
1996-10-24,4.877783589
1996-10-25,4.874574752
1996-10-28,4.858530567
1996-10-29,4.868157078
1996-10-30,4.868157078
1996-10-31,4.877783589
1996-11-01,4.874574752
1996-11-04,4.884201263
1996-11-05,4.897039356
1996-11-06,4.919501215
1996-11-07,4.922710052
1996-11-08,4.929130471
1996-11-11,4.935548145
1996-11-12,4.938756982
1996-11-13,4.938756982
1996-11-14,4.948383493
1996-11-15,4.954801167
1996-11-18,4.954801167
1996-11-19,4.970848097
1996-11-20,4.990101119
1996-11-21,4.983683445
1996-11-22,5.006148049
1996-11-25,5.028609908
1996-11-26,5.018983397
