Date,TRBCX
1995-09-22,10.89540733
1995-09-25,10.90292665
1995-09-26,10.90292665
1995-09-27,10.87287111
1995-09-28,10.94049427
1995-09-29,10.94800635
1995-10-02,10.92547012
1995-10-03,10.94800635
1995-10-04,10.94049427
1995-10-05,10.96303775
1995-10-06,10.97806914
1995-10-09,10.90292665
1995-10-10,10.85032763
1995-10-11,10.9179508
1995-10-12,11.02314884
1995-10-13,11.06072371
1995-10-16,11.06072371
1995-10-17,11.11331548
1995-10-18,11.13585895
1995-10-19,11.15089035
1995-10-20,11.07574786
1995-10-23,11.03818023
1995-10-24,11.07574786
1995-10-25,10.94800635
1995-10-26,10.83529624
1995-10-27,10.88038318
1995-10-30,10.94049427
1995-10-31,10.9329822
1995-11-01,11.00812469
1995-11-02,11.1208348
1995-11-03,11.14337827
1995-11-06,11.1208348
1995-11-07,11.08325993
1995-11-08,11.17343382
1995-11-09,11.20348936
1995-11-10,11.19597729
1995-11-13,11.18845797
1995-11-14,11.15089035
1995-11-15,11.21851351
1995-11-16,11.27111253
1995-11-17,11.32371155
1995-11-20,11.25608838
1995-11-21,11.24856906
1995-11-22,11.25608838
1995-11-24,11.28614393
1995-11-27,11.3086874
1995-11-28,11.34625502
1995-11-29,11.37631057
1995-11-30,11.41388543
1995-12-01,11.40636611
1995-12-04,11.50405207
1995-12-05,11.57919456
1995-12-06,11.62427426
1995-12-07,11.57167524
1995-12-08,11.58670664
1995-12-11,11.60173079
1995-12-12,11.57167524
1995-12-13,11.57167524
1995-12-14,11.50405207
1995-12-15,11.45896513
1995-12-18,11.27111253
1995-12-19,11.3537671
1995-12-20,11.30116808
1995-12-21,11.36879849
1995-12-22,11.41388543
1995-12-26,11.46647721
1995-12-27,11.48902068
1995-12-28,11.46613674
1995-12-29,11.51191186
1996-01-02,11.54242379
1996-01-03,11.53479581
1996-01-04,11.45088078
1996-01-05,11.39747767
1996-01-08,11.42036161
1996-01-09,11.28304348
1996-01-10,11.09995021
1996-01-11,11.19150047
1996-01-12,11.21438441
1996-01-15,11.13809736
1996-01-16,11.24490357
1996-01-17,11.26015953
1996-01-18,11.31356264
1996-01-19,11.39747767
1996-01-22,11.45088078
1996-01-23,11.45088078
1996-01-24,11.61108285
1996-01-25,11.58057093
1996-01-26,11.63397404
1996-01-29,11.6873699
1996-01-30,11.81706006
1996-01-31,11.93912223
1996-02-01,11.9696414
1996-02-02,11.93912223
1996-02-05,11.99252534
1996-02-06,12.08406835
1996-02-07,12.15273466
1996-02-08,12.29768077
1996-02-09,12.32056472
1996-02-12,12.38922378
1996-02-13,12.36633984
1996-02-14,12.29005279
1996-02-15,12.29005279
1996-02-16,12.25953363
1996-02-20,12.12984347
1996-02-21,12.25190565
1996-02-22,12.42737093
1996-02-23,12.45788285
1996-02-26,12.35108388
1996-02-27,12.29768077
1996-02-28,12.29768077
1996-02-29,12.2137585
1996-03-01,12.25953363
1996-03-04,12.41211497
1996-03-05,12.51128596
1996-03-06,12.48077404
1996-03-07,12.49603
1996-03-08,12.16036264
1996-03-11,12.2137585
1996-03-12,12.16036264
1996-03-13,12.2137585
1996-03-14,12.26716161
1996-03-15,12.29768077
1996-03-18,12.44262689
1996-03-19,12.40447974
1996-03-20,12.39685176
1996-03-21,12.3815958
1996-03-22,12.40447974
1996-03-25,12.37396782
1996-03-26,12.40447974
1996-03-27,12.33582068
1996-03-28,12.36633984
1996-03-29,12.38922378
1996-04-01,12.54180512
1996-04-02,12.58757301
1996-04-03,12.58757301
1996-04-04,12.60282897
1996-04-08,12.38922378
1996-04-09,12.35871186
1996-04-10,12.19850254
1996-04-11,12.11458751
1996-04-12,12.2137585
1996-04-15,12.3281927
1996-04-16,12.36633984
1996-04-17,12.28242481
1996-04-18,12.3281927
1996-04-19,12.37396782
1996-04-22,12.46551083
1996-04-23,12.51128596
1996-04-24,12.49603
1996-04-25,12.5494331
1996-04-26,12.57994503
1996-04-29,12.60282897
1996-04-30,12.59520099
1996-05-01,12.62572015
1996-05-02,12.38922378
1996-05-03,12.33582068
1996-05-06,12.29768077
1996-05-07,12.25953363
1996-05-08,12.35108388
1996-05-09,12.39685176
1996-05-10,12.51891394
