Date,VIMSX
2002-05-21,9.653676556
2002-05-22,9.653676556
2002-05-23,9.786887857
2002-05-24,9.700694872
2002-05-28,9.653676556
2002-05-29,9.583158418
2002-05-30,9.583158418
2002-05-31,9.59882704
2002-06-03,9.355916708
2002-06-04,9.28539857
2002-06-05,9.348085509
2002-06-06,9.167862116
2002-06-07,9.254055101
2002-06-10,9.261892524
2002-06-11,9.065994284
2002-06-12,9.058163085
2002-06-13,8.940620406
2002-06-14,9.003307345
2002-06-17,9.246217677
2002-06-18,9.246217677
2002-06-19,9.136518646
2002-06-20,9.026819616
2002-06-21,8.91711436
2002-06-24,8.862264845
2002-06-25,8.721222344
2002-06-26,8.713384921
2002-06-27,8.791740482
2002-06-28,8.893608314
2002-07-01,8.682041451
2002-07-02,8.423462497
2002-07-03,8.399956451
2002-07-05,8.697716298
2002-07-08,8.548836375
2002-07-09,8.352938134
2002-07-10,8.125702649
2002-07-11,8.133540073
2002-07-12,8.086521756
2002-07-15,8.023834817
2002-07-16,8.016003618
2002-07-17,8.06301571
2002-07-18,7.843611423
2002-07-19,7.663394255
2002-07-22,7.404809075
2002-07-23,7.193242212
2002-07-24,7.530182953
2002-07-25,7.506676908
2002-07-26,7.569363847
2002-07-29,7.984660149
2002-07-30,8.047347088
2002-07-31,8.03167224
2002-08-01,7.859286271
2002-08-02,7.632050786
2002-08-05,7.404809075
2002-08-06,7.655556831
2002-08-07,7.741749816
2002-08-08,7.92197321
2002-08-09,7.945479255
2002-08-12,7.945479255
2002-08-13,7.765255862
2002-08-14,8.016003618
2002-08-15,8.141371271
2002-08-16,8.188389588
2002-08-19,8.321594664
2002-08-20,8.23540168
2002-08-21,8.384281603
