Date,VGTSX
2000-04-27,7.955816013
2000-04-28,8.027329724
2000-05-01,8.05116394
2000-05-02,8.15247457
2000-05-03,7.979650229
2000-05-04,7.973693058
2000-05-05,7.985612931
2000-05-08,7.920056391
2000-05-09,7.842585509
2000-05-10,7.7770345
2000-05-11,7.765114627
2000-05-12,7.931976265
2000-05-15,7.878339599
2000-05-16,7.943896139
2000-05-17,7.7770345
2000-05-18,7.771071798
2000-05-19,7.622087204
2000-05-22,7.508856701
2000-05-23,7.568450538
2000-05-24,7.496942358
2000-05-25,7.604210159
2000-05-26,7.639964249
2000-05-30,7.878339599
2000-05-31,7.81278859
2000-06-01,7.926019094
2000-06-02,8.229945452
2000-06-05,8.212068407
2000-06-06,8.271662245
2000-06-07,8.223988281
2000-06-08,8.194191362
2000-06-09,8.176314317
2000-06-12,8.200148534
2000-06-13,8.200148534
2000-06-14,8.223988281
2000-06-15,8.110757777
2000-06-16,8.134597525
2000-06-19,8.158431741
2000-06-20,8.223988281
2000-06-21,8.170351615
2000-06-22,8.122677651
2000-06-23,8.063083814
2000-06-26,8.033286895
2000-06-27,8.080960859
2000-06-28,8.128634822
2000-06-29,8.069040985
2000-06-30,8.146517399
2000-07-03,8.21803111
2000-07-05,8.18822866
2000-07-06,8.170351615
2000-07-07,8.229945452
2000-07-10,8.277624947
2000-07-11,8.241865326
2000-07-12,8.229945452
2000-07-13,8.164394444
2000-07-14,8.194191362
2000-07-17,8.206111236
2000-07-18,8.098837904
2000-07-19,8.039244066
2000-07-20,8.075003688
2000-07-21,8.01540985
2000-07-24,7.985612931
2000-07-25,7.997532805
2000-07-26,8.003489976
2000-07-27,7.872382428
